Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC,wRC_per_PA,wRC_plus,wRC_plus_scaled
56,1660722588,P. Brzustewicz,Parker Brzustewicz,Brzustewicz,Parker,1B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.358,7.0,51,902,227,186,0.301,0.415,0.371,0.786,0.07,14.1%,14.1%,1.0,0.0%,0.61,-,0.361,61.3%,0.358,0.0%,35.487666666666655,0.1563333333333333,14.421514519026953,83.44340979761363
57,1089871104,J. Nati,Jimmy Nati,Nati,Jimmy,2B,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.401,14.9,52,830,229,203,0.3,0.367,0.581,0.948,0.281,21.0%,6.6%,3.2,7.0%,0.87,12.69,0.317,64.8%,0.401,16.7%,44.00616666666667,0.19216666666666668,17.844364296838933,103.47326109884429
58,1083908608,M. Scannell,Matt Scannell,Scannell,Matt,RF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,0.422,21.7,59,1119,266,210,0.3,0.435,0.543,0.978,0.243,15.8%,14.7%,1.08,4.5%,0.93,17.50,0.325,65.0%,0.422,100.0%,55.771333333333324,0.20966666666666664,19.495708815340425,131.13711493080157
58,1074064384,B. Rounds,Ben Rounds,Rounds,Ben,LF,Duke University,DUKE,730336256,Duke,BBC,L,R,0.415,19.8,58,1054,262,210,0.3,0.433,0.519,0.952,0.219,22.5%,14.5%,1.55,3.4%,0.91,23.33,0.378,59.4%,0.415,57.1%,53.40433333333333,0.2038333333333333,18.89506598689527,125.5715038455151
60,1278171392,J. Purify,Jarren Purify,Purify,Jarren,2B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,0.386,14.0,57,997,264,208,0.298,0.417,0.462,0.879,0.163,24.6%,12.1%,2.03,2.3%,0.95,34.67,0.394,57.7%,0.386,87.9%,47.432,0.17966666666666667,16.640844381528623,111.52854457004999
61,1279343616,T. Albright,Tyler Albright,Albright,Tyler,LF,Duke University,DUKE,730336256,Duke,BBC,R,L,0.409,20.4,62,1120,286,225,0.298,0.435,0.502,0.937,0.204,21.3%,15.7%,1.36,3.5%,1.02,22.50,0.363,61.8%,0.409,100.0%,56.86633333333332,0.1988333333333333,18.470681211365452,133.71182728331053
62,1160633600,G. Pike,Garret Pike,Pike,Garret,RF,University of Louisville,LOU,5467,Louisville,BBC,L,R,0.343,4.4,61,794,238,209,0.297,0.343,0.455,0.798,0.158,14.3%,3.8%,3.78,1.7%,0.59,52.25,0.328,66.7%,0.343,100.0%,34.23233333333334,0.14383333333333334,13.186553574296639,80.49169998953185
63,1196830209,J. Winnay,Jack Winnay,Winnay,Jack,1B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,0.42,22.5,60,1074,282,226,0.296,0.416,0.571,0.987,0.274,17.0%,12.8%,1.33,5.3%,0.92,15.07,0.31,67.9%,0.42,100.0%,58.65599999999999,0.20799999999999996,19.316537482753642,137.9199340171372
64,1281390848,J. Zimbardo,Jared Zimbardo,Zimbardo,Jared,CF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.36,6.1,42,779,192,162,0.296,0.4,0.395,0.795,0.099,25.0%,9.4%,2.67,1.6%,0.62,54.00,0.405,55.9%,0.36,76.9%,30.335999999999995,0.15799999999999997,14.514897411831654,71.33011317416587
65,1568958668,J. Nunnallee,James Nunnallee,Nunnallee,James,LF,University of Virginia,UVA,5415,Virginia,BBC,L,R,0.362,5.8,48,649,174,142,0.296,0.407,0.401,0.808,0.106,7.5%,10.3%,0.72,0.6%,0.79,142.00,0.315,67.7%,0.362,75.0%,27.781999999999996,0.15966666666666665,14.671147411831653,65.3248023537934
66,1153410304,R. Zuckerman,Ryan Zuckerman,Zuckerman,Ryan,3B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.4,16.3,55,999,255,220,0.295,0.382,0.555,0.936,0.259,33.7%,9.4%,3.58,5.1%,0.87,16.92,0.423,53.7%,0.4,75.0%,48.79,0.19133333333333333,17.729970941243415,114.72165815425743
66,1140999168,L. Nixon,Luke Nixon,Nixon,Luke,2B,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,0.371,10.4,56,970,254,220,0.295,0.386,0.459,0.845,0.164,14.6%,8.3%,1.76,2.0%,0.96,44.00,0.335,62.6%,0.371,87.5%,42.46033333333333,0.16716666666666666,15.432302267474698,99.83848833331602
68,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,Duke University,DUKE,730336256,Duke,BBC,L,L,0.43,25.0,60,1187,285,215,0.293,0.449,0.558,1.007,0.265,12.6%,20.0%,0.63,5.3%,0.95,14.33,0.286,70.8%,0.43,88.9%,61.654999999999994,0.21633333333333332,20.109743903059723,144.97158912688545
69,1516396414,T. Bass,Tyson Bass,Bass,Tyson,RF,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,0.384,14.0,61,1087,273,233,0.292,0.393,0.485,0.878,0.193,26.4%,12.5%,2.12,4.0%,0.79,21.18,0.38,60.0%,0.384,85.7%,48.594,0.178,16.466019206703447,114.26079639983575
70,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,0.402,14.9,52,942,228,189,0.291,0.401,0.534,0.935,0.243,21.9%,14.5%,1.52,4.4%,0.83,18.90,0.344,63.4%,0.402,-,44.004,0.19299999999999998,17.872901797796565,103.46816653863382
70,1506711324,C. Arroyo,Chris Arroyo,Arroyo,Chris,1B,University of Virginia,UVA,5415,Virginia,BBC,L,L,0.373,9.2,49,819,217,189,0.291,0.361,0.519,0.88,0.228,13.8%,10.6%,1.3,5.1%,0.63,17.18,0.289,70.4%,0.373,83.3%,36.63683333333333,0.1688333333333333,15.57744541490385,86.1454861553837
72,1102646272,P. Roche,Patrick Roche,Roche,Patrick,3B,Boston College,BC,227,Boston College,BBC,R,R,0.369,10.1,57,978,256,196,0.291,0.427,0.383,0.81,0.092,12.5%,12.1%,1.03,1.2%,0.81,65.33,0.323,65.9%,0.369,86.4%,42.367999999999995,0.16549999999999998,15.28312657849832,99.62138169050172
73,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,0.401,20.1,61,1238,309,234,0.291,0.451,0.444,0.896,0.154,7.1%,14.2%,0.5,1.0%,1.21,78.00,0.307,66.5%,0.401,93.8%,59.37950000000001,0.19216666666666668,17.84266844743036,139.62112523817854
